Pueblo Libertador, 3638, W, 11, AR, -30.22087000, -59.38981000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q5394748
Puerta de Corral Quemado, 3647, K, 11, AR, -27.23000000, -66.93635000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q1774277
Puerto Bermejo, 3640, H, 11, AR, -26.92739000, -58.50917000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q1656125
Puerto Deseado, 3649, Z, 11, AR, -47.75034000, -65.89382000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q923541
Puerto Eldorado, 3644, N, 11, AR, -26.40843000, -54.69463000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q21827536
Puerto Esperanza, 3644, N, 11, AR, -26.02267000, -54.61356000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q3112889
Puerto Ibicuy, 3654, E, 11, AR, -33.75305000, -59.17762000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q3314293
Puerto Iguazú, 3644, N, 11, AR, -25.59912000, -54.57355000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q55378
Puerto Leoni, 3644, N, 11, AR, -26.98762000, -55.16569000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q2565742
Puerto Libertad, 3644, N, 11, AR, -25.91958000, -54.58229000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q3036970
Puerto Madryn, 3651, U, 11, AR, -42.76920000, -65.03851000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q748028
Puerto Piray, 3644, N, 11, AR, -26.46937000, -54.70736000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q3115721
Puerto Rico, 3644, N, 11, AR, -26.79598000, -55.02402000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q2530831
Puerto Santa Cruz, 3649, Z, 11, AR, -50.01910000, -68.52321000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q932809
Puerto Tirol, 3640, H, 11, AR, -27.37218000, -59.08206000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q1003738
Puerto Vilelas, 3640, H, 11, AR, -27.51414000, -58.93906000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q1656101
Puerto Yeruá, 3654, E, 11, AR, -31.53713000, -58.01527000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q9064581
Pérez, 3641, S, 11, AR, -32.99835000, -60.76791000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q7264669
Quemú Quemú, 3655, L, 11, AR, -36.05463000, -63.56428000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q2947915
Quilino, 3642, X, 11, AR, -30.21397000, -64.50063000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q21836395
Quimilí, 3635, G, 11, AR, -27.64615000, -62.41655000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q1015595
Quitilipi, 3640, H, 11, AR, -26.86913000, -60.21683000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q1656947
Rada Tilly, 3651, U, 11, AR, -45.92462000, -67.55424000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q998325
Rafaela, 3641, S, 11, AR, -31.25033000, -61.48670000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q259498
Rancul, 3655, L, 11, AR, -35.06862000, -64.68107000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q954161
Rawson, 3651, U, 11, AR, -43.30016000, -65.10228000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q44208
Realicó, 3655, L, 11, AR, -35.03658000, -64.24470000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q3036199
Reconquista, 3641, S, 11, AR, -29.15000000, -59.65000000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q3036199
Recreo, 3641, S, 11, AR, -31.49076000, -60.73299000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q21833265
Recreo, 3647, K, 11, AR, -29.28184000, -65.06096000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q766923
Resistencia, 3640, H, 11, AR, -27.46056000, -58.98389000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q44206
Retiro, 3656, B, 11, AR, -34.58333000, -58.38333000, 2019-10-05 23:58:20, 2020-08-15 22:19:00, 1, Q44206
Riacho Eh-Eh, 3652, P, 11, AR, -25.36209000, -58.27750000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q21827591
Riachuelo, 3638, W, 11, AR, -27.58191000, -58.74497000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q21827593
Roldán, 3641, S, 11, AR, -32.89846000, -60.90681000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q7360617
Rosario, 3641, S, 11, AR, -32.94682000, -60.63932000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q52535
Rosario del Tala, 3654, E, 11, AR, -32.30286000, -59.14545000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q2247641
Rufino, 3641, S, 11, AR, -34.26827000, -62.71262000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q960119
Ruiz de Montoya, 3644, N, 11, AR, -26.98333000, -55.05000000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q2550082
Río Ceballos, 3642, X, 11, AR, -31.16486000, -64.32241000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q990605
Río Colorado, 3639, R, 11, AR, -38.99397000, -64.09295000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q1410272
Río Cuarto, 3642, X, 11, AR, -33.13067000, -64.34992000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q983451
Río Gallegos, 3649, Z, 11, AR, -51.62261000, -69.21813000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q44242
Río Grande, 3650, V, 11, AR, -53.78769000, -67.70946000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q1005221
Río Mayo, 3651, U, 11, AR, -45.68573000, -70.25797000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q21833451
Río Pico, 3651, U, 11, AR, -44.17905000, -71.36847000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q1774299
Río Segundo, 3642, X, 11, AR, -31.65260000, -63.90990000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q1937588
Río Tercero, 3642, X, 11, AR, -32.17301000, -64.11405000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q994351
Río Turbio, 3649, Z, 11, AR, -51.53587000, -72.33673000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q2608901
Sacanta, 3642, X, 11, AR, -31.66300000, -63.04505000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q9072519
Saladas, 3638, W, 11, AR, -28.25384000, -58.62591000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q544023
Saldán, 3642, X, 11, AR, -31.30262000, -64.30700000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q2214082
Salsacate, 3642, X, 11, AR, -31.31842000, -65.09003000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q3111167
Salsipuedes, 3642, X, 11, AR, -31.13725000, -64.29589000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q21833759
Salta, 3643, A, 11, AR, -24.78590000, -65.41166000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q36307
Sampacho, 3642, X, 11, AR, -33.38390000, -64.72211000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q2982604
Samuhú, 3640, H, 11, AR, -27.52116000, -60.39167000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q7413040
San Agustín, 3642, X, 11, AR, -31.97681000, -64.37400000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q1863952
San Agustín de Valle Fértil, 3634, J, 11, AR, -30.63353000, -67.46821000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q21833794
San Antonio, 3647, K, 11, AR, -28.01009000, -65.70874000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q7413304
San Antonio Oeste, 3639, R, 11, AR, -40.73193000, -64.94769000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q1894082
San Antonio de Litín, 3642, X, 11, AR, -32.21377000, -62.63237000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q9073324
San Antonio de los Cobres, 3643, A, 11, AR, -24.21804000, -66.31877000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q1563449
San Basilio, 3642, X, 11, AR, -33.49763000, -64.31495000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q21833822
San Benito, 3654, E, 11, AR, -31.78371000, -60.44156000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q5243488
San Bernardo, 3640, H, 11, AR, -27.28782000, -60.71252000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q967629
San Carlos, 3642, X, 11, AR, -31.17761000, -65.10245000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q967364
San Carlos, 3638, W, 11, AR, -27.74586000, -55.89731000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q21827699
San Carlos Centro, 3641, S, 11, AR, -31.72864000, -61.09192000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q2261100
San Carlos de Bariloche, 3639, R, 11, AR, -41.14557000, -71.30822000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q47772
San Cosme, 3638, W, 11, AR, -27.37123000, -58.51214000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q21827707
San Cristóbal, 3641, S, 11, AR, -30.31053000, -61.23724000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q607174
San Fernando del Valle de Catamarca, 3647, K, 11, AR, -28.46957000, -65.78524000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q44162
San Francisco, 3642, X, 11, AR, -31.42797000, -62.08266000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q949535
San Francisco de Laishí, 3652, P, 11, AR, -26.24262000, -58.63039000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q994886
San Francisco del Chañar, 3642, X, 11, AR, -29.78830000, -63.94411000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q3082023
San Francisco del Monte de Oro, 3636, D, 11, AR, -32.59825000, -66.12539000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q1015495
San Gustavo, 3654, E, 11, AR, -30.68961000, -59.39840000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q9073465
San Javier, 3641, S, 11, AR, -30.57781000, -59.93170000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q2527694
San Jorge, 3641, S, 11, AR, -31.89618000, -61.85984000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q21833909
San José, 3644, N, 11, AR, -27.76979000, -55.78260000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q7414513
San José de Feliciano, 3654, E, 11, AR, -30.38452000, -58.75167000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q2501258
San José de Jáchal, 3634, J, 11, AR, -30.24057000, -68.74693000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q1018389
San José de la Dormida, 3642, X, 11, AR, -30.35440000, -63.94871000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q6119038
San Juan, 3634, J, 11, AR, -31.53750000, -68.53639000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q44241
San Julián, 3649, Z, 11, AR, -49.30554000, -67.72743000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q955668
San Justo, 3654, E, 11, AR, -32.44654000, -58.43569000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q21827757
San Justo, 3641, S, 11, AR, -30.78913000, -60.59189000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q2134760
San Lorenzo, 3638, W, 11, AR, -28.13306000, -58.76733000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q21827760
San Luis, 3636, D, 11, AR, -33.29501000, -66.33563000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q44243
San Luis del Palmar, 3638, W, 11, AR, -27.50790000, -58.55454000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q1016055
San Martín, 3646, M, 11, AR, -33.08103000, -68.46814000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q1806934
San Martín, 3634, J, 11, AR, -31.42957000, -68.50065000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q685766
San Martín de los Andes, 3648, Q, 11, AR, -40.15789000, -71.35337000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q1019152
San Miguel, 3638, W, 11, AR, -27.99585000, -57.58964000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q1016019
San Miguel de Tucumán, 3637, T, 11, AR, -26.82414000, -65.22260000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q44255
San Pedro, 3635, G, 11, AR, -27.95386000, -65.16651000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q1015246
San Pedro, 3644, N, 11, AR, -26.62207000, -54.10842000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q3112883
San Pedro de Jujuy, 3645, Y, 11, AR, -24.23127000, -64.86614000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q1020263
San Rafael, 3646, M, 11, AR, -34.61772000, -68.33007000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q23044
San Ramón de la Nueva Orán, 3643, A, 11, AR, -23.13705000, -64.32426000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q1755283
San Salvador, 3654, E, 11, AR, -31.62487000, -58.50524000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q2065245
San Salvador de Jujuy, 3645, Y, 11, AR, -24.19457000, -65.29712000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q44217
San Vicente, 3644, N, 11, AR, -26.61667000, -54.13333000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q21827849
Santa Ana, 3654, E, 11, AR, -30.90004000, -57.93162000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q7419149
Santa Anita, 3654, E, 11, AR, -32.17476000, -58.78622000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q21827820
Santa Clara, 3645, Y, 11, AR, -24.30921000, -64.66253000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q2001906
Santa Elena, 3654, E, 11, AR, -30.94432000, -59.78832000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q2475908
Santa Eufemia, 3642, X, 11, AR, -33.17659000, -63.28281000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q10367830
Santa Fe, 3641, S, 11, AR, -31.64881000, -60.70868000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q44244
Santa Isabel, 3655, L, 11, AR, -36.22724000, -66.94240000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q3034804
Santa Lucía, 3634, J, 11, AR, -31.53987000, -68.49503000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q3034804
Santa Lucía, 3638, W, 11, AR, -28.98746000, -59.10287000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q3949073
Santa Magdalena, 3642, X, 11, AR, -34.51776000, -63.94409000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q1709980
Santa María, 3644, N, 11, AR, -27.93490000, -55.40742000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q2238097
Santa María, 3647, K, 11, AR, -26.69547000, -66.04732000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q1012407
Santa Rosa, 3655, L, 11, AR, -36.61667000, -64.28333000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q44215
Santa Rosa, 3638, W, 11, AR, -28.26318000, -58.11891000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q21827837
Santa Rosa de Calamuchita, 3642, X, 11, AR, -32.06905000, -64.53631000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q15329
Santa Rosa de Río Primero, 3642, X, 11, AR, -31.15231000, -63.40191000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q2765854
Santa Rosa de Tastil, 3643, A, 11, AR, -24.45166000, -65.97452000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q370723
Santa Rosa del Conlara, 3636, D, 11, AR, -32.34286000, -65.20323000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q1018381
Santa Sylvina, 3640, H, 11, AR, -27.83261000, -61.13747000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q1015553
Santiago Temple, 3642, X, 11, AR, -31.38731000, -63.41821000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q9074307
Santiago del Estero, 3635, G, 11, AR, -27.79511000, -64.26149000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q44253
Santo Pipó, 3644, N, 11, AR, -27.14132000, -55.40867000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q7420542
Santo Tomé, 3641, S, 11, AR, -31.66274000, -60.76530000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q2540118
Santo Tomé, 3638, W, 11, AR, -28.54939000, -56.04077000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q2031463
Sarmiento, 3651, U, 11, AR, -45.58815000, -69.06996000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q106034
Sastre, 3641, S, 11, AR, -31.76762000, -61.82887000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q3473836
Saturnino M. Laspiur, 3642, X, 11, AR, -31.70287000, -62.48202000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q21834167
Sauce de Luna, 3654, E, 11, AR, -31.23794000, -59.21872000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q7427010
Sebastián Elcano, 3642, X, 11, AR, -30.16105000, -63.59360000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q21834217
Seguí, 3654, E, 11, AR, -31.95642000, -60.12488000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q9075712
Senillosa, 3648, Q, 11, AR, -39.01412000, -68.43281000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q3478557
Serrano, 3642, X, 11, AR, -34.46971000, -63.53842000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q974361
Serrezuela, 3642, X, 11, AR, -30.63761000, -65.38692000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q21834373
Sierra Colorada, 3639, R, 11, AR, -40.58487000, -67.75674000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q692861
Sierra Grande, 3639, R, 11, AR, -41.60603000, -65.35574000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q21834393
Simoca, 3637, T, 11, AR, -27.26272000, -65.35647000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q367345
Sumampa, 3635, G, 11, AR, -29.38470000, -63.46907000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q1015605
Sunchales, 3641, S, 11, AR, -30.94404000, -61.56148000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q2509609
Suncho Corral, 3635, G, 11, AR, -27.93357000, -63.42938000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q1015579
Tabossi, 3654, E, 11, AR, -31.80135000, -59.93477000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q5476809
Taco Pozo, 3640, H, 11, AR, -25.61557000, -63.26708000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q1579288
Tacuarendí, 3641, S, 11, AR, -28.41265000, -59.26000000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q1579288
Tafí Viejo, 3637, T, 11, AR, -26.73201000, -65.25921000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q2092448
Tafí del Valle, 3637, T, 11, AR, -26.85275000, -65.70983000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q948534
Tancacha, 3642, X, 11, AR, -32.24309000, -63.98070000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q21831429
Tartagal, 3643, A, 11, AR, -22.51637000, -63.80131000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q106115
Tecka, 3651, U, 11, AR, -43.49489000, -70.81020000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q2259996
Telén, 3655, L, 11, AR, -36.26429000, -65.51018000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q7697943
Termas de Río Hondo, 3635, G, 11, AR, -27.49362000, -64.85972000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q169334
Ticino, 3642, X, 11, AR, -32.69350000, -63.43606000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q21831530
Tilcara, 3645, Y, 11, AR, -23.57817000, -65.39516000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q604722
Tilisarao, 3636, D, 11, AR, -32.73292000, -65.29109000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q2536970
Tinogasta, 3647, K, 11, AR, -28.06319000, -67.56488000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q81563
Tintina, 3635, G, 11, AR, -27.02687000, -62.70643000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q1154169
Toledo, 3642, X, 11, AR, -31.55574000, -64.00947000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q21831641
Tolhuin, 3650, V, 11, AR, -54.51083000, -67.19550000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q21831641
Tostado, 3641, S, 11, AR, -29.23202000, -61.76917000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q971021
Totoras, 3641, S, 11, AR, -32.58440000, -61.16852000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q2226504
Trancas, 3637, T, 11, AR, -26.23136000, -65.28093000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q976838
Trelew, 3651, U, 11, AR, -43.24895000, -65.30505000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q1009276
Trenel, 3655, L, 11, AR, -35.69837000, -64.13218000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q3037564
Tres Capones, 3644, N, 11, AR, -28.00641000, -55.60471000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q9297687
Tres Isletas, 3640, H, 11, AR, -26.34067000, -60.43207000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q169222
Trevelin, 3651, U, 11, AR, -43.08580000, -71.46386000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q2368288
Tío Pujio, 3642, X, 11, AR, -32.28790000, -63.35598000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q6154571
Ubajay, 3654, E, 11, AR, -31.79358000, -58.31350000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q7876389
Ucacha, 3642, X, 11, AR, -33.03203000, -63.50666000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q2628025
Unión, 3636, D, 11, AR, -35.15282000, -65.94602000, 2019-10-05 23:58:20, 2020-05-01 18:52:33, 1, Q7896892
Unquillo, 3642, X, 11, AR, -31.23073000, -64.31615000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q3120316
Urdinarrain, 3654, E, 11, AR, -32.68573000, -58.89323000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q2032321
Uriburu, 3655, L, 11, AR, -36.50682000, -63.86225000, 2019-10-05 23:58:20, 2019-10-05 23:58:20, 1, Q7900572
Ushuaia, 3650, V, 11, AR, -54.81084000, -68.31591000, 2019-10-05 23:58:21, 2019-10-05 23:58:21, 1, Q44254
Valcheta, 3639, R, 11, AR, -40.67989000, -66.16283000, 2019-10-05 23:58:21, 2019-10-05 23:58:21, 1, Q1015230
Valle Hermoso, 3642, X, 11, AR, -31.11732000, -64.48084000, 2019-10-05 23:58:21, 2019-10-05 23:58:21, 1, Q9092406
Veinticinco de Mayo, 3655, L, 11, AR, -37.77410000, -67.71638000, 2019-10-05 23:58:21, 2019-10-05 23:58:21, 1, Q2449535
Veinticinco de Mayo, 3644, N, 11, AR, -27.37679000, -54.74312000, 2019-10-05 23:58:21, 2019-10-05 23:58:21, 1, Q2374393
Venado Tuerto, 3641, S, 11, AR, -33.74556000, -61.96885000, 2019-10-05 23:58:21, 2019-10-05 23:58:21, 1, Q1889146
Vera, 3641, S, 11, AR, -29.45930000, -60.21261000, 2019-10-05 23:58:21, 2019-10-05 23:58:21, 1, Q2540770
Viale, 3654, E, 11, AR, -31.86782000, -60.00722000, 2019-10-05 23:58:21, 2019-10-05 23:58:21, 1, Q7924485
Viamonte, 3642, X, 11, AR, -33.74647000, -63.09764000, 2019-10-05 23:58:21, 2019-10-05 23:58:21, 1, Q21832337
Victoria, 3654, E, 11, AR, -32.61841000, -60.15478000, 2019-10-05 23:58:21, 2019-10-05 23:58:21, 1, Q1905080
Victorica, 3655, L, 11, AR, -36.21505000, -65.43586000, 2019-10-05 23:58:21, 2019-10-05 23:58:21, 1, Q2272570
Vicuña Mackenna, 3642, X, 11, AR, -33.91965000, -64.39215000, 2019-10-05 23:58:21, 2020-05-01 18:52:33, 1, Q918656
Viedma, 3639, R, 11, AR, -40.81345000, -62.99668000, 2019-10-05 23:58:21, 2019-10-05 23:58:21, 1, Q44240
Villa Allende, 3642, X, 11, AR, -31.29458000, -64.29538000, 2019-10-05 23:58:21, 2019-10-05 23:58:21, 1, Q991758
Villa Ascasubi, 3642, X, 11, AR, -32.16351000, -63.89157000, 2019-10-05 23:58:21, 2019-10-05 23:58:21, 1, Q1973813
Villa Atamisqui, 3635, G, 11, AR, -28.49609000, -63.81609000, 2019-10-05 23:58:21, 2019-10-05 23:58:21, 1, Q577778
Villa Basilio Nievas, 3634, J, 11, AR, -31.55000000, -68.73333000, 2019-10-05 23:58:21, 2019-10-05 23:58:21, 1, Q2052395
Villa Berna, 3642, X, 11, AR, -31.91419000, -64.73249000, 2019-10-05 23:58:21, 2019-10-05 23:58:21, 1, Q6162060
Villa Berthet, 3640, H, 11, AR, -27.29174000, -60.41263000, 2019-10-05 23:58:21, 2019-10-05 23:58:21, 1, Q1657333
Villa Bustos, 3653, F, 11, AR, -29.28636000, -67.02067000, 2019-10-05 23:58:21, 2019-10-05 23:58:21, 1, Q58388
Villa Carlos Paz, 3642, X, 11, AR, -31.42414000, -64.49778000, 2019-10-05 23:58:21, 2019-10-05 23:58:21, 1, Q48285
Villa Cañás, 3641, S, 11, AR, -34.00565000, -61.60757000, 2019-10-05 23:58:21, 2020-05-01 18:52:33, 1, Q1865187
Villa Concepción del Tío, 3642, X, 11, AR, -31.32259000, -62.81354000, 2019-10-05 23:58:21, 2020-05-01 18:52:33, 1, Q6162106
